id,subject,chapter,topic,question,optionA,optionB,optionC,optionD,answer,explanation
"chem_ind_001","Chemistry","Industrial Chemistry","Contact process","Arsenic impurity is removed by","Fe(OH)3","Manganese dioxide","Activated charcoal","Chromic oxide","A","Ferric hydroxide removes arsenic from SO2 gas before oxidation."

"chem_col_001","Chemistry","Surface Chemistry","Testing box","Scattering phenomenon in testing box identifies suspended impurities by","Tyndall effect","Brownian motion","Adsorption","Diffusion","A","The Tyndall effect is used to detect colloidal impurities."

"chem_ind_002","Chemistry","Industrial Chemistry","Solvay process","Brine saturated with ammonia gives","Ammonium bicarbonate","Ammonium chloride","Sodium bicarbonate","Sodium carbonate","C","Ammonia and CO2 form ammonium bicarbonate, which reacts with NaCl to yield sodium bicarbonate."

"chem_kin_002","Chemistry","Kinetics","Activation energy","Activation energy is","Minimum energy required for reaction","Heat of reaction","Bond energy","Internal energy","A","Activation energy is the minimum energy molecules need to react."

"chem_org_002","Chemistry","Organic Chemistry","Williamson synthesis","Methyl iodide reacts with sodium ethoxide to give","Ethyl methyl ether","Dimethyl ether","Diethyl ether","Methanol","A","Williamson synthesis forms ethyl methyl ether."

"chem_rxn_001","Chemistry","Chemical Reactions","Combustion","Which is a combustion reaction","CH4 + 2O2 → CO2 + 2H2O","2AgNO3 → 2Ag + 2NO2 + O2","NaCl + AgNO3 → AgCl + NaNO3","N2 + 3H2 → 2NH3","A","Combustion involves reaction with oxygen forming CO2 and H2O."

"chem_org_003","Chemistry","Organic Chemistry","Food industry","Flavouring agent in jam industry","Esters","Alcohols","Aldehydes","Ketones","A","Esters provide fruity flavors used in jams and beverages."

"chem_atom_001","Chemistry","Atomic Structure","Ionization energy","Which configuration has highest first ionization energy","1s²2s²2p⁶","1s²2s²2p¹","1s²2s²2p³","1s²2s²2p⁵","A","A filled shell (noble gas configuration) has the highest ionization energy."

"chem_org_004","Chemistry","Organic Chemistry","Carbylamine","Chloroform with aniline and KOH gives","Phenyl isocyanide","Aniline chloride","Aniline cyanide","Diphenyl amine","A","This is the carbylamine reaction forming phenyl isocyanide (offensive odor)."

"chem_qual_002","Chemistry","Qualitative Analysis","Color test","Which gives blue coloration with starch","Iodine","Copper","Iron","Bromine","A","Iodine reacts with starch to produce blue color."

"chem_phy_001","Chemistry","Physical Chemistry","Conductivity","Unit of specific conductivity is","S m⁻¹","S m² mol⁻¹","Ω m","S mol⁻¹","A","Conductivity (κ) is measured in siemens per meter (S/m)."

"chem_org_005","Chemistry","Organic Chemistry","Formic acid formation","Formic acid is formed by","Oxidation of formaldehyde","Reduction of CO2","Hydration of CO","Hydrolysis of methyl formate","A","Formic acid results from oxidation of formaldehyde (HCHO)."

"chem_sol_001","Chemistry","Solutions","Electrolytes","Ionic movement is greater in","Dilute solution","Concentrated solution","Solid state","Colloid","A","Ions move more freely in dilute solutions due to less interionic attraction."

"chem_org_006","Chemistry","Organic Chemistry","Carbonyl group","Characteristic reaction of carbonyl group is","Nucleophilic addition","Electrophilic addition","Substitution","Elimination","A","Carbonyl carbon is electrophilic and undergoes nucleophilic addition reactions."

"phy_circ_001","Physics","Circular Motion","Vertical loop","For vertical circular motion of radius 1 m, the critical speed at the lowest point to complete the loop is","3.1 m/s","5.0 m/s","7.0 m/s","9.8 m/s","C","Minimum speed at the lowest point u_min = √(5 g r). With g = 9.8 m/s² and r = 1 m, u_min = √49 = 7.0 m/s."
"phy_thm_003","Physics","Thermodynamics","Power and latent heat","Latent heat of fusion of ice is 80 cal/g. A man melts 60 g ice in 1 minute. What is his power output","168 W","252 W","335 W","420 W","C","Heat = 60×80 cal = 4800 cal ≈ 2.01×10^4 J. Power = 2.01×10^4 J ÷ 60 s ≈ 335 W."
"phy_fluid_003","Physics","Fluids","Hydrometer scale","A common hydrometer reads specific gravity 1.6 at one mark. The 1.5 mark lies","Above 1.6","Below 1.6","At the same level","Cannot be on the stem","B","Lower density needs deeper immersion, so the 1.5 mark is below the 1.6 mark on the stem."
"phy_kine_003","Physics","Kinematics","Trajectory under forces","A stone is dropped from a tower while a constant horizontal force from wind acts. Its path is","Straight line","Circle","Parabola","Ellipse","C","Constant horizontal acceleration with vertical g gives a parabolic trajectory."
"phy_wav_003","Physics","Waves on Strings","Frequency and density","Two wires of same length, tension, and diameter have density ratio 1:3. The ratio of their fundamental frequencies f1:f2 is","1:√3","√3:1","1:3","3:1","B","f ∝ 1/√ρ for same L and T, so f1/f2 = √(ρ2/ρ1) = √3."
"phy_elst_001","Physics","Elasticity","Wave speed in rod","Young’s modulus of steel is 2×10^11 N/m² and density 7.8×10^3 kg/m³. Speed of sound in steel is","3.5 km/s","4.5 km/s","5.1 km/s","6.0 km/s","C","v = √(E/ρ) ≈ √(2×10^11 ÷ 7.8×10^3) ≈ √(2.56×10^7) ≈ 5.06×10^3 m/s."
"phy_snd_001","Physics","Sound","Organ pipe","Speed of sound 350 m/s. An open pipe of length 50 cm has fundamental frequency","175 Hz","262 Hz","350 Hz","700 Hz","C","f = v/(2L) = 350 ÷ (2×0.5) = 350 Hz."
"phy_dop_001","Physics","Waves","Doppler effect","Both source and observer move in the same direction with speed equal to half the sound speed. Percentage change in observed frequency is","0%","25%","33%","50%","A","f' = f (v − vo)/(v − vs). With vo = vs = v/2, the ratio is 1, so no change."
"phy_elm_005","Physics","Electricity","Resistance and stretching","A wire has R = 32 Ω. If its length is doubled by stretching at constant volume, the percentage increase in R is","100%","200%","300%","400%","C","R ∝ L² for constant volume. New R = 4R = 128 Ω, increase = 300%."
"phy_opt_005","Physics","Wave Optics","Young’s fringes","In Young’s experiment, replacing red light with violet light causes","Fringe width increases","Fringe width decreases","No change","Fringes disappear","B","β ∝ λ. Violet has smaller λ than red, so β decreases."
"phy_opt_006","Physics","Geometrical Optics","Prism, minimum deviation","For a prism with A = 60° and μ = 1.5, the angle of emergence at minimum deviation is","30.0°","41.8°","48.6°","60.0°","C","At minimum deviation, r = A/2 = 30°. i = e with sin i = μ sin r = 1.5×0.5 = 0.75, so e ≈ 48.6°."
"phy_fluid_004","Physics","Fluids","Bernoulli","Bernoulli’s equation applies to","Turbulent compressible flow","Steady incompressible non-viscous flow along a streamline","Any viscous flow","Static fluids only","B","It holds for steady, incompressible, non-viscous flow along a streamline."
"phy_circ_002","Physics","Circular Motion","Force from angular momentum","A particle of mass m moves in a circle of radius r with angular momentum L. The centripetal force is","L²/(m r³)","L/(m r²)","m L²/r","m r/L²","A","Use L = m v r, so v = L/(m r). Then Fc = m v²/r = L²/(m r³)."
"phy_thm_004","Physics","Thermodynamics","Entropy","Entropy does not change during a","Reversible adiabatic process","Isothermal process","Free expansion","Irreversible adiabatic process","A","A reversible adiabatic process is isentropic, so ΔS = 0."
"phy_ht_001","Physics","Heat Transfer","Cooling law","Newton’s law of cooling applies for","Large temperature differences","Vacuum only","Small temperature differences","Only gases","C","Valid for small temperature differences between body and surroundings."
"phy_elm_006","Physics","Electricity","Wire folding","A wire of 4 Ω is folded into two equal halves and twisted together in parallel. New resistance is","0.5 Ω","1.0 Ω","2.0 Ω","4.0 Ω","B","Each half is 2 Ω. Two 2 Ω in parallel give 1 Ω."
"phy_atm_003","Physics","Atomic Physics","Ionization energy","Ionization energy of hydrogen is 13.6 eV. For He⁺ it is","27.2 eV","40.8 eV","54.4 eV","68.0 eV","C","For hydrogen-like ions, E ∝ Z². With Z = 2, E = 13.6×4 = 54.4 eV."

"chem_kin_003","Chemistry","Chemical Kinetics","Arrhenius factor","In a simple molecular reaction, the Arrhenius constant A is","Temperature-independent factor","Activation energy","Rate constant","Collision energy","A","A is the frequency or pre-exponential factor, reflecting collision frequency and orientation, weakly T-dependent compared to Ea."

"chem_int_001","Chemistry","Intermolecular Forces","Hydrogen bonding","Intermolecular hydrogen bonding is strongest in","HF","H2O","NH3","HCl","A","HF forms very strong H bonds due to high electronegativity and small size of F, giving the strongest intermolecular H-bonding among these."

"chem_kin_004","Chemistry","Chemical Kinetics","Reaction order","Radioactive decay follows which order","Zero order","First order","Second order","Third order","B","Radioactive decay is a first-order process, rate ∝ number of nuclei present."

"chem_org_021","Chemistry","Organic Chemistry","Side-chain chlorination","Toluene on free-radical chlorination in light and heat followed by heating with aqueous NaOH gives","Benzyl alcohol","Benzaldehyde","Benzoic acid","Phenol","C","Extensive side-chain chlorination yields benzotrichloride, which hydrolyzes with aqueous base to benzoic acid."

"chem_kin_005","Chemistry","Chemical Kinetics","Half-life","If half-life is independent of initial concentration, the reaction is","Zero order","First order","Second order","Fractional order","B","For first-order kinetics, t½=0.693/k, independent of initial concentration."

"chem_env_003","Chemistry","Environmental/Applied","Uses of fluorinated compounds","Fluorinated compounds are used as","Refrigerants","Fertilizers","Explosives","Indicators","A","CFCs and related fluorinated compounds have been widely used as refrigerants and propellants."

"chem_org_022","Chemistry","Aromatic Substitution","Phenol directing effects","In electrophilic substitution, phenol is","Deactivating, m-director","Activating, o,p-director","Neutral, random","Deactivating, o-director only","B","+M effect of −OH activates the ring and directs incoming electrophiles to ortho and para positions."

"chem_gas_003","Chemistry","Gaseous State","Diffusion rate","Order of diffusion rates at same T and P is","H2 > He > N2 > O2","He > H2 > O2 > N2","O2 > N2 > He > H2","N2 > O2 > He > H2","A","By Graham’s law, rate ∝ 1/√M, so lighter gases diffuse faster."

"chem_thm_003","Chemistry","Thermodynamics","Joule–Thomson","For an ideal gas, the Joule–Thomson effect is","Cooling","Heating","Zero","Unpredictable","C","Ideal gases have μJT=0, so no temperature change on throttling."

"chem_gas_004","Chemistry","Gaseous State","Ideal behavior","A real gas shows ideal behavior best at","Low T, high P","High T, low P","Low T, low P","High T, high P","B","High temperature and low pressure minimize interactions, approximating ideal gas behavior."

"chem_thm_004","Chemistry","Thermodynamics","Inversion temperature","Temperature at which an expanding gas just begins to cool is","Critical temperature","Boyle temperature","Inversion temperature","Boiling point","C","Below inversion temperature most real gases cool on expansion."

"chem_org_023","Chemistry","Organic Chemistry","Oxidation","Oxidation product of aldehydes and primary alcohols is","Alkenes","Ketones","Carboxylic acids","Ethers","C","Aldehydes oxidize to acids, and primary alcohols oxidize via aldehyde to acids."

"chem_thm_005","Chemistry","Thermodynamics","Phase change enthalpy","When a solid melts, what happens to enthalpy","Decreases","Increases","Zero change","Becomes negative","B","Fusion absorbs heat, so ΔH is positive."

"chem_org_024","Chemistry","Organic Analysis","Amine differentiation","Primary, secondary, tertiary, and aromatic amines are distinguished by","Hinsberg reagent","Lucas reagent","Tollens’ reagent","Fehling’s solution","A","Benzenesulfonyl chloride (Hinsberg test) differentiates amines by solubility of sulfonamides."

"chem_water_002","Chemistry","Water Chemistry","Borax in water","Borax cleans water because its solution becomes","Acidic","Neutral","Alkaline","Amphiprotic","C","Borax hydrolyzes to give an alkaline solution that helps remove hardness."

"chem_phy_006","Chemistry","Physical Chemistry","Spin isomers","Ortho and para hydrogen are separated by","Electrolysis","Adsorption on charcoal at low T","Fractional crystallization","Distillation at 1 atm","B","Different spin isomers are separated via selective adsorption at low temperatures."

"chem_atom_002","Chemistry","Atomic Structure","Orbital shapes","Shape of orbital with azimuthal quantum number l = 1 is","spherical","dumbbell (p)","clover (d)","linear","B","l=1 corresponds to p orbitals with dumbbell shape."

"chem_atom_003","Chemistry","Atomic Structure","Electron capacity","Maximum electrons in all orbitals with n=2 and l=1","2","4","6","8","C","The 2p subshell has three orbitals, holding up to 6 electrons."

"chem_met_001","Chemistry","Metallurgy","Processes","Metallurgical process where metal is obtained in fused state is","Roasting","Calcination","Smelting","Leaching","C","Smelting reduces the ore at high temperature to give metal in the molten state."

"chem_org_025","Chemistry","Organometallics","Grignard with carbonyl","MgCH3Br reacts with which to give an alcohol","Formaldehyde","CO2","Acetone","Benzaldehyde","A","CH3MgBr + HCHO → after workup gives ethanol, a primary alcohol."

"chem_org_026","Chemistry","Organic Reactions","Transesterification","Splitting of an ester by an alcohol is called","Hydrolysis","Saponification","Transesterification","Esterification","C","Alcoholysis of an ester forming a new ester is transesterification."

"chem_qual_003","Chemistry","Qualitative Tests","Alkene vs alkyne","Propene and propyne can be distinguished by","Bromine water","Baeyer’s reagent","Ammoniacal AgNO3","HCl gas","C","Terminal alkynes give precipitate with ammoniacal AgNO3, alkenes do not."

"chem_org_027","Chemistry","Ether Synthesis","Williamson","Alkyl chlorides are converted to ethers by","Hydrogenation","Williamson synthesis with sodium alkoxide","Friedel–Crafts","Ozonolysis","B","SN2 of RO− on R-Cl yields ROR′ in Williamson synthesis."

"chem_acid_003","Chemistry","Acid–Base","pH calculation","0.040 g NaOH in 100 cm³ water, pH is","10","11","12","13","C","Moles = 0.001, volume 0.1 L, [OH−]=0.01 M, pOH=2, pH=12."

"chem_nuc_002","Chemistry","Nuclear Chemistry","Weapons","Principle of the hydrogen bomb is","Fission","Fusion","Chain inhibition","Beta decay","B","Thermonuclear weapon uses uncontrolled nuclear fusion."

"chem_ele_001","Chemistry","Electrochemistry","Salt bridge choice","KNO3 is used in a salt bridge because","It is colored","It is volatile","Ions have nearly equal mobilities, minimizing junction potential","It reacts with electrodes","C","K+ and NO3− have similar transport numbers, reducing liquid junction potential."

"chem_atom_004","Chemistry","Atomic Structure","Pauli principle","Two electrons in the same orbital differ in","Principal quantum number","Azimuthal quantum number","Magnetic quantum number","Spin quantum number","D","Pauli exclusion requires opposite spins, so ms differs."
"zoo_skl_001","Zoology","Skeletal System","Appendicular skeleton","Appendicular skeleton consists of","Limbs and girdles","Skull and vertebral column","Ribs and sternum","Skull and jaw","A","Appendicular skeleton includes pectoral and pelvic girdles and limbs."

"zoo_amp_004","Zoology","Amphibians","Excretion","Excretion in frog tadpole is","Ammonotelic","Ureotelic","Uricotelic","Mixed type","A","Ammonia is the chief nitrogenous waste in tadpoles, which live in water."

"zoo_rep_002","Zoology","Reproduction","Female reproductive system","Graafian follicle is found in","Ovary","Uterus","Fallopian tube","Vagina","A","Graafian follicle is a mature ovarian follicle that releases the ovum during ovulation."

"zoo_vit_001","Zoology","Vitamins","Vitamin synthesis","Vitamin A is synthesized in the body from","Carotene","Riboflavin","Niacin","Calciferol","A","β-carotene from vegetables is converted to vitamin A in the liver."

"zoo_imm_001","Zoology","Immunity","Lymphoid tissue","Peyer’s patches produce","Lymphocytes","Insulin","Bile","Pepsin","A","Peyer’s patches in the small intestine produce lymphocytes for immune defense."

"zoo_end_002","Zoology","Endocrine System","Hormones","FSH is secreted by","Anterior pituitary","Posterior pituitary","Thyroid gland","Pancreas","A","Follicle-stimulating hormone is secreted by the anterior pituitary gland."

"zoo_end_003","Zoology","Endocrine System","Hormone storage","Which secretion is stored in extracellular fluid then released into blood","Thyroxine","Adrenaline","Insulin","Oxytocin","A","Thyroid hormones are stored in colloid of follicles before secretion into blood."

"zoo_vir_001","Zoology","Virology","Virus structure","A virion is","Complete virus particle","Viral DNA only","Viral RNA only","Protein coat only","A","A virion is a complete, infectious virus particle with nucleic acid and protein coat."

"zoo_gen_003","Zoology","Genetics","Inheritance","X-linked inheritance means","Gene present on X chromosome","Gene present on Y chromosome","Autosomal inheritance","Mitochondrial inheritance","A","X-linked inheritance refers to traits controlled by genes on the X chromosome."

"bot_eco_005","Botany","Economic Botany","Plants and minerals","Vegetable gold refers to","Soybean","Maize","Banana","Mustard","A","Soybean is rich in protein and oil, called vegetable gold."

"bot_cel_003","Botany","Cell Division","Cytokinesis","Cell plate formation is seen in","Plant cells","Animal cells","Both","Bacteria","A","Plant cells form a cell plate during cytokinesis due to rigid cell wall."

"bot_cel_004","Botany","Cytology","Cell organelles","Which helps in protein synthesis and transport","Endoplasmic reticulum","Golgi apparatus","Lysosome","Peroxisome","A","Rough ER is responsible for protein synthesis and transport."

"bot_rep_003","Botany","Reproduction","Plant sexuality","Male and female flowers on same plant indicate","Monoecious plant","Dioecious plant","Bisexual flower","Polygamous plant","A","Monoecious plants like maize have separate male and female flowers on the same plant."

"bot_rep_004","Botany","Reproduction","Parthenogenesis","Development of egg without fertilization is","Parthenogenesis","Apomixis","Polyembryony","Autogamy","A","Parthenogenesis is development of embryo without fertilization."

"bot_tis_002","Botany","Plant Anatomy","Simple tissue","Prosenchyma is present in","Mechanical tissue","Meristematic tissue","Parenchyma","Phloem","A","Prosenchyma are elongated cells providing mechanical strength."

"bot_cel_005","Botany","Cell Biology","Cell types","Prokaryotes differ from eukaryotes in","Lack of true nucleus","Presence of mitochondria","Presence of DNA","Presence of cell wall","A","Prokaryotes lack a membrane-bound nucleus and organelles."

"bot_env_001","Botany","Ecology","Pollution","Best indicator of SO2 pollution","Lichens","Algae","Moss","Fungi","A","Lichens are very sensitive to sulfur dioxide pollution."

"bot_cls_002","Botany","Taxonomy","Classification","Five kingdom classification is based on","Cell structure and nutrition","Reproduction only","Habitat","Chromosome number","A","Whittaker’s classification is based on cell structure, body organization, nutrition, and reproduction."

"bot_alg_001","Botany","Algae","Habitats","Algae found in thermal springs is","Cyanobacteria","Red algae","Brown algae","Green algae","A","Thermophilic blue-green algae like Oscillatoria grow in hot springs."

"zoo_mic_001","Zoology","Microbiology","Bacteria","E. coli is easily extracted from","Human intestine","Air","Water","Soil","A","E. coli is abundant in human intestinal tract, used for biological studies."

"bot_mod_001","Botany","Morphology","Stem modification","Most reduced stem is found in","Cactus","Onion","Potato","Ginger","B","In onion, the stem is a reduced disc bearing fleshy scales."

"bot_fru_001","Botany","Fruits","Grasses","Fruit of family Poaceae is","Caryopsis","Achene","Berry","Nut","A","Grasses have caryopsis fruit with fused seed and pericarp."

"bot_phy_006","Botany","Plant Physiology","Transpiration","Ganong’s potometer measures","Rate of transpiration","Rate of respiration","Photosynthesis","Osmosis","A","Potometer measures rate of water uptake, indicating transpiration rate."

"bot_mer_001","Botany","Meristem","Growth","In grasses, size of leaf and stem increases by","Intercalary meristem","Apical meristem","Lateral meristem","Parenchyma","A","Intercalary meristems cause growth at leaf base and nodes in grasses."

"zoo_gen_004","Zoology","Genetics","Protein synthesis","Sequence of amino acids is determined by","mRNA","tRNA","rRNA","DNA polymerase","A","mRNA codons determine the amino acid sequence during translation."

"bot_rep_005","Botany","Reproduction","Embryo sac","Monosporic, 8-nucleate embryo sac is called","Polygonum type","Oenothera type","Adoxa type","Fritillaria type","A","Polygonum type is most common with one megaspore forming 8 nuclei."

"bot_rep_006","Botany","Reproduction","Double fertilization","Triple fusion is characteristic of","Angiosperms","Gymnosperms","Pteridophytes","Bryophytes","A","Triple fusion occurs only in angiosperms forming endosperm nucleus."

"zoo_sen_006","Zoology","Sensation","Ear","Tectorial membrane is found in","Cochlea","Ear pinna","Middle ear","Tympanum","A","Tectorial membrane lies over the organ of Corti in cochlea."

"zoo_rep_003","Zoology","Reproduction","Gonads","Terminal cells of gonads are lined by","Germinal epithelium","Cuboidal epithelium","Columnar cells","Sertoli cells","A","Gonads are lined by germinal epithelium that produces gametes."

"zoo_orn_004","Zoology","Ornithology","Skeleton","Pneumatic bones are found in","Birds","Reptiles","Mammals","Amphibians","A","Bird bones are hollow and air-filled to reduce weight for flight."

"zoo_inv_010","Zoology","Platyhelminthes","Excretion","Protonephridia function in","Excretion and osmoregulation","Respiration","Reproduction","Nutrient absorption","A","Protonephridia with flame cells help excretion and osmoregulation."

"zoo_prot_003","Zoology","Protozoa","Parasitology","Schizont stage of Plasmodium occurs in","Liver and RBC","Stomach of mosquito","Salivary gland of mosquito","Spleen","A","Schizogony occurs in liver cells and RBCs of human host."

"zoo_prot_004","Zoology","Protozoa","Reproduction","Sexual reproduction in protozoa is by","Conjugation","Budding","Binary fission","Multiple fission","A","Conjugation is the sexual process involving exchange of nuclei."

"zoo_ins_001","Zoology","Insects","Mouthparts","Mouthparts of cockroach are","Biting and chewing type","Sucking type","Piercing type","Sponging type","A","Cockroach has biting and chewing mouthparts adapted for omnivory."

"zoo_chr_003","Zoology","Chordata","General features","Which of the following are characters of vertebrates","Notochord, dorsal nerve cord, closed circulation","Exoskeleton, open circulation","Ventral nerve cord, no skull","Triploblastic, open system","A","All vertebrates have notochord, dorsal nerve cord, and closed blood system."

"zoo_chr_004","Zoology","Chordata","Notochord","Primary function of notochord is","Support and flexibility","Food storage","Blood formation","Reproduction","A","Notochord provides axial support and flexibility to the embryo."

"zoo_prot_005","Zoology","Protozoa","Cilia","Cilia of Paramecium arise from","Basal bodies (kinetosomes)","Pellicle","Cytopharynx","Cytoplasm","A","Each cilium originates from a basal body in the cortex of Paramecium."

"zoo_evo_003","Zoology","Evolution","Speciation","Same species differing by geographic isolation are","Subspecies","Siblings","Hybrids","Polyploids","A","Geographic isolation forms subspecies through allopatric speciation."

"zoo_prot_006","Zoology","Protozoa","Structures","Chief function of trichocyst in Paramecium is","Defense","Digestion","Reproduction","Movement","A","Trichocysts discharge threads for protection and anchoring."

"zoo_skl_002","Zoology","Skeleton","Support","Main supporting tissue of vertebrae is","Cartilage","Bone","Ligament","Muscle","B","Vertebrae consist mainly of bone tissue providing rigidity and protection."

"zoo_brn_001","Zoology","Nervous System","Brain","Mammalian brain differs by presence of","Corpus callosum","Olfactory lobe","Cerebellum","Midbrain","A","Corpus callosum connects two hemispheres, unique in mammals."

"zoo_ecol_002","Zoology","Ecology","Symbiosis","Relationship where one benefits, other unaffected is","Commensalism","Mutualism","Parasitism","Competition","A","Commensalism benefits one without harming the other."

"zoo_por_001","Zoology","Porifera","Reproduction","Gemmules form by aggregation of","Amoebocytes","Choanocytes","Pinacocytes","Scleroblasts","A","Amoebocytes aggregate and form gemmules as resistant reproductive bodies."

"zoo_phy_004","Zoology","Physiology","Heart","Heartbeat initiates after depolarization of","Sinoatrial node","Atrioventricular node","Purkinje fibres","Ventricles","A","SA node acts as pacemaker initiating depolarization and contraction."

"zoo_evo_004","Zoology","Evolution","Biogenetic law","Biogenetic law ‘ontogeny recapitulates phylogeny’ means","Embryo repeats ancestral stages","Embryo forms new organs","Adult resembles ancestor","Evolution is linear","A","Embryonic development passes through stages resembling ancestral forms."

"bot_phy_007","Botany","Plant Physiology","Nastic movements","Opening and closing of flowers is a type of","Photonastic movement","Seismonastic movement","Tigmonastic movement","Hydronastic movement","A","Opening and closing of flowers depends on light, a photonastic movement."
