"CHE-PCH-AS-164","Chemistry","Atomic Structure","Aufbau principle","Which orbital is filled before 3d?","4p","4d","4s","5s","C","4s has lower energy than 3d and fills first."
"CHE-PCH-AS-165","Chemistry","Atomic Structure","Aufbau principle","Which orbital is filled immediately after 3p?","3d","4s","4p","5s","B","The Aufbau order after 3p is 4s."
"CHE-PCH-AS-166","Chemistry","Atomic Structure","Aufbau principle","Which orbital has lower energy?","3d","4s","4p","5s","B","4s is filled before 3d because it has lower energy."
"CHE-PCH-AS-167","Chemistry","Atomic Structure","Aufbau principle","The correct increasing energy order is:","1s, 2s, 2p, 3s","1s, 2p, 2s, 3s","2s, 1s, 2p, 3s","1s, 2s, 3s, 2p","A","Orbitals fill as 1s, 2s, 2p, 3s in increasing energy."
"CHE-PCH-AS-168","Chemistry","Atomic Structure","Aufbau principle","Which comes earlier in filling order?","3d","4s","4p","4d","B","4s fills before 3d and 4p."
"CHE-PCH-AS-169","Chemistry","Atomic Structure","Aufbau principle","The n + l value for 3p orbital is:","3","4","5","6","B","For 3p, n = 3 and l = 1, so n + l = 4."
"CHE-PCH-AS-170","Chemistry","Atomic Structure","Aufbau principle","The n + l value for 4s orbital is:","3","4","5","6","B","For 4s, n = 4 and l = 0, so n + l = 4."
"CHE-PCH-AS-171","Chemistry","Atomic Structure","Aufbau principle","Between 3p and 4s, which is filled first?","3p","4s","Both simultaneously","Depends on spin only","A","Both have n + l = 4, but 3p has lower n and fills first."
"CHE-PCH-AS-172","Chemistry","Atomic Structure","Aufbau principle","The correct order after 4s is:","4p then 3d","3d then 4p","4d then 3d","5s then 4p","B","After 4s, electrons enter 3d before 4p."
"CHE-PCH-AS-173","Chemistry","Atomic Structure","Aufbau principle","Which orbital has higher energy?","3p","4s","3s","2p","B","Although 3p and 4s have same n + l, 4s has higher n and higher energy."
"CHE-PCH-AS-174","Chemistry","Atomic Structure","Aufbau principle","Which pair has same n + l value?","2s and 2p","3p and 4s","3s and 3p","4s and 4p","B","3p has n + l = 4 and 4s also has n + l = 4."
"CHE-PCH-AS-175","Chemistry","Atomic Structure","Aufbau principle","The orbital with n = 3 and l = 2 is:","3s","3p","3d","3f","C","l = 2 corresponds to d, so n = 3 gives 3d."
"CHE-PCH-AS-176","Chemistry","Atomic Structure","Aufbau principle","Which orbital is filled before 5s?","4d","4p","5p","6s","B","The filling order includes 4p before 5s."
"CHE-PCH-AS-177","Chemistry","Atomic Structure","Pauli exclusion principle","Pauli exclusion principle states that no two electrons in an atom can have the same:","Energy","Set of four quantum numbers","Principal quantum number only","Spin only","B","No two electrons can have identical values of all four quantum numbers."
"CHE-PCH-AS-178","Chemistry","Atomic Structure","Pauli exclusion principle","Two electrons in the same orbital must have:","Same spin","Opposite spins","No spin","Same charge and same spin only","B","Electrons in the same orbital have opposite spins."
"CHE-PCH-AS-179","Chemistry","Atomic Structure","Pauli exclusion principle","The maximum number of electrons in an orbital is two because of:","Aufbau principle","Pauli exclusion principle","Hund’s rule","Rutherford model","B","Pauli principle limits an orbital to two electrons with opposite spins."
"CHE-PCH-AS-180","Chemistry","Atomic Structure","Pauli exclusion principle","Which orbital diagram violates Pauli exclusion principle?","↑↓ in one orbital","↑ in one orbital","↑↑ in one orbital","Empty orbital","C","Two electrons in the same orbital cannot have parallel spins."
"CHE-PCH-AS-181","Chemistry","Atomic Structure","Pauli exclusion principle","If two electrons have the same n, l and m values, they must differ in:","Spin quantum number","Principal quantum number","Azimuthal quantum number","Magnetic quantum number","A","Electrons in same orbital differ only in spin quantum number."
"CHE-PCH-AS-182","Chemistry","Atomic Structure","Pauli exclusion principle","Pauli exclusion principle helps explain:","Maximum capacity of orbitals","Rutherford scattering","Molecular mass","Radioactivity","A","It explains why each orbital holds maximum two electrons."
"CHE-PCH-AS-183","Chemistry","Atomic Structure","Pauli exclusion principle","Which pair of spins is allowed in one orbital?","+1/2, +1/2","-1/2, -1/2","+1/2, -1/2","+1, -1","C","Two electrons in one orbital must have opposite spins."
"CHE-PCH-AS-184","Chemistry","Atomic Structure","Pauli exclusion principle","The fourth quantum number that distinguishes two electrons in the same orbital is:","n","l","m","s","D","Spin quantum number differentiates two electrons in the same orbital."
"CHE-PCH-AS-185","Chemistry","Atomic Structure","Pauli exclusion principle","Which configuration of helium follows Pauli principle?","1s¹","1s² with opposite spins","1s² with parallel spins","2s² only","B","Helium has two 1s electrons with opposite spins."
"CHE-PCH-AS-186","Chemistry","Atomic Structure","Pauli exclusion principle","Pauli principle applies to:","Only hydrogen atom","Only metals","All atoms","Only molecules with ions","C","The principle applies to electrons in all atoms."
"CHE-PCH-AS-187","Chemistry","Atomic Structure","Hund’s rule","Hund’s rule is applied when electrons enter:","Orbitals of different shells only","Degenerate orbitals","Nucleus","Only s-orbitals","B","Hund’s rule applies to orbitals of equal energy within a subshell."
"CHE-PCH-AS-188","Chemistry","Atomic Structure","Hund’s rule","According to Hund’s rule, degenerate orbitals are singly occupied before pairing because it gives:","Minimum stability","Maximum multiplicity","Zero spin","Lower atomic number","B","Maximum number of unpaired electrons gives maximum multiplicity and stability."
"CHE-PCH-AS-189","Chemistry","Atomic Structure","Hund’s rule","In a p-subshell with three electrons, the correct arrangement is:","↑↓, ↑, empty","↑, ↑, ↑","↑↓, empty, ↑","↑↓, ↑↓, empty","B","Electrons occupy the three p-orbitals singly with parallel spins before pairing."
"CHE-PCH-AS-190","Chemistry","Atomic Structure","Hund’s rule","The number of unpaired electrons in nitrogen atom is:","1","2","3","4","C","Nitrogen has 2p³ configuration with three unpaired electrons."
"CHE-PCH-AS-191","Chemistry","Atomic Structure","Hund’s rule","The number of unpaired electrons in oxygen atom is:","0","1","2","3","C","Oxygen has 2p⁴ configuration, giving two unpaired electrons."
"CHE-PCH-AS-192","Chemistry","Atomic Structure","Hund’s rule","The number of unpaired electrons in fluorine atom is:","0","1","2","3","B","Fluorine has 2p⁵ configuration with one unpaired electron."
"CHE-PCH-AS-193","Chemistry","Atomic Structure","Hund’s rule","Which configuration follows Hund’s rule for 2p²?","↑↓, empty, empty","↑, ↑, empty","↑, ↓, empty","↑↓, ↑, empty","B","Electrons occupy separate degenerate orbitals with parallel spins first."
"CHE-PCH-AS-194","Chemistry","Atomic Structure","Hund’s rule","For carbon atom, the two 2p electrons are arranged as:","Paired in one p-orbital","Singly in two p-orbitals with parallel spins","Singly in two p-orbitals with opposite spins","Both in 2s orbital","B","Carbon has 2p² with two unpaired parallel-spin electrons."
"CHE-PCH-AS-195","Chemistry","Atomic Structure","Hund’s rule","Which element has three unpaired electrons in ground state?","Carbon","Nitrogen","Oxygen","Neon","B","Nitrogen has 1s²2s²2p³ and three unpaired electrons."
"CHE-PCH-AS-196","Chemistry","Atomic Structure","Hund’s rule","Pairing of electrons in degenerate orbitals begins only after:","All degenerate orbitals have one electron","First orbital gets two electrons","Electrons enter nucleus","s-orbital is empty","A","Hund’s rule requires single occupancy before pairing."
"CHE-PCH-AS-197","Chemistry","Atomic Structure","Hund’s rule","The maximum number of unpaired electrons in a d-subshell is:","3","5","7","10","B","A d-subshell has five degenerate orbitals, so maximum five unpaired electrons are possible."
"CHE-PCH-AS-198","Chemistry","Atomic Structure","Hund’s rule","The maximum number of unpaired electrons in a p-subshell is:","1","2","3","6","C","A p-subshell has three orbitals, allowing maximum three unpaired electrons."
"CHE-PCH-AS-199","Chemistry","Atomic Structure","Hund’s rule","Hund’s rule explains extra stability of:","Completely empty orbitals only","Half-filled and fully filled subshells","Only paired electrons","Only nuclei","B","Half-filled and fully filled subshells are relatively more stable."
"CHE-PCH-AS-200","Chemistry","Atomic Structure","Hund’s rule","Which species has no unpaired electron?","N","O","F","Ne","D","Neon has completely filled 2p⁶ subshell and no unpaired electron."
"CHE-PCH-AS-201","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of hydrogen is:","1s¹","1s²","2s¹","2p¹","A","Hydrogen has one electron, which occupies 1s orbital."
"CHE-PCH-AS-202","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of helium is:","1s¹","1s²","1s²2s¹","2s²","B","Helium has two electrons in 1s orbital."
"CHE-PCH-AS-203","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of lithium is:","1s²2s¹","1s²2p¹","1s¹2s²","1s²2s²","A","Lithium has three electrons: 1s²2s¹."
"CHE-PCH-AS-204","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of carbon is:","1s²2s²2p²","1s²2s²2p⁴","1s²2s¹2p³","1s²2p⁴","A","Carbon has atomic number 6 and configuration 1s²2s²2p²."
"CHE-PCH-AS-205","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of nitrogen is:","1s²2s²2p²","1s²2s²2p³","1s²2s²2p⁴","1s²2s²2p⁵","B","Nitrogen has atomic number 7, so its configuration is 1s²2s²2p³."
"CHE-PCH-AS-206","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of oxygen is:","1s²2s²2p³","1s²2s²2p⁴","1s²2s²2p⁵","1s²2s²2p⁶","B","Oxygen has eight electrons and configuration 1s²2s²2p⁴."
"CHE-PCH-AS-207","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of neon is:","1s²2s²2p⁴","1s²2s²2p⁵","1s²2s²2p⁶","1s²2s²2p⁶3s¹","C","Neon has ten electrons and completely filled second shell."
"CHE-PCH-AS-208","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of sodium is:","1s²2s²2p⁶3s¹","1s²2s²2p⁶3s²","1s²2s²2p⁶3p¹","1s²2s²2p⁵3s²","A","Sodium has atomic number 11 and one electron in 3s orbital."
"CHE-PCH-AS-209","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of magnesium is:","[Ne]3s¹","[Ne]3s²","[Ne]3p¹","[Ar]4s²","B","Magnesium has atomic number 12 and configuration [Ne]3s²."
"CHE-PCH-AS-210","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of aluminium is:","[Ne]3s²3p¹","[Ne]3s¹3p²","[Ne]3s²3p²","[Ar]4s¹","A","Aluminium has atomic number 13 and configuration [Ne]3s²3p¹."
"CHE-PCH-AS-211","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of chlorine is:","[Ne]3s²3p⁴","[Ne]3s²3p⁵","[Ne]3s²3p⁶","[Ar]4s¹","B","Chlorine has atomic number 17 and configuration [Ne]3s²3p⁵."
"CHE-PCH-AS-212","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of argon is:","[Ne]3s²3p⁴","[Ne]3s²3p⁵","[Ne]3s²3p⁶","[Ar]4s²","C","Argon has atomic number 18 and filled 3p subshell."
"CHE-PCH-AS-213","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of potassium is:","[Ar]3d¹","[Ar]4s¹","[Ar]4s²","[Ne]3s²3p⁶3d¹","B","Potassium has atomic number 19 and the next electron enters 4s."
"CHE-PCH-AS-214","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of calcium is:","[Ar]4s¹","[Ar]4s²","[Ar]3d²","[Ne]3s²3p⁶4p²","B","Calcium has atomic number 20 and configuration [Ar]4s²."
"CHE-PCH-AS-215","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of scandium is:","[Ar]4s²3d¹","[Ar]3d³","[Ar]4s¹3d²","[Ar]4p¹","A","After filling 4s², the next electron enters 3d."
"CHE-PCH-AS-216","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of iron is:","[Ar]3d⁶4s²","[Ar]3d⁸","[Ar]4s²4p⁶","[Ne]3s²3p⁶3d⁶","A","Iron has atomic number 26 and configuration [Ar]3d⁶4s²."
"CHE-PCH-AS-217","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of chromium is:","[Ar]3d⁴4s²","[Ar]3d⁵4s¹","[Ar]3d⁶","[Ar]4s²4p⁴","B","Chromium has exceptional configuration due to half-filled 3d⁵ stability."
"CHE-PCH-AS-218","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of copper is:","[Ar]3d⁹4s²","[Ar]3d¹⁰4s¹","[Ar]3d⁸4s³","[Ar]4s²4p⁹","B","Copper has exceptional configuration due to fully filled 3d¹⁰ stability."
"CHE-PCH-AS-219","Chemistry","Atomic Structure","Electronic configuration","The valence shell configuration of alkali metals is generally:","ns¹","ns²","ns²np⁵","ns²np⁶","A","Alkali metals have one electron in the outermost s orbital."
"CHE-PCH-AS-220","Chemistry","Atomic Structure","Electronic configuration","The valence shell configuration of halogens is generally:","ns¹","ns²","ns²np⁵","ns²np⁶","C","Halogens have seven valence electrons with ns²np⁵ configuration."
"CHE-PCH-AS-221","Chemistry","Atomic Structure","Electronic configuration","The valence shell configuration of noble gases except helium is:","ns¹","ns²","ns²np⁵","ns²np⁶","D","Noble gases have completely filled valence shells, generally ns²np⁶."
"CHE-PCH-AS-222","Chemistry","Atomic Structure","Electronic configuration","Which element has configuration [Ne]3s²3p¹?","Mg","Al","Si","P","B","[Ne]3s²3p¹ corresponds to aluminium."
"CHE-PCH-AS-223","Chemistry","Atomic Structure","Electronic configuration","Which element has configuration [Ar]4s²?","K","Ca","Sc","Ti","B","[Ar]4s² corresponds to calcium."
"CHE-PCH-AS-224","Chemistry","Atomic Structure","Electronic configuration","Which element has configuration [Ne]3s²3p⁵?","Sulfur","Chlorine","Argon","Phosphorus","B","[Ne]3s²3p⁵ corresponds to chlorine."
"CHE-PCH-AS-225","Chemistry","Atomic Structure","Electronic configuration","The number of valence electrons in magnesium is:","1","2","3","4","B","Magnesium has [Ne]3s², so it has two valence electrons."
"CHE-PCH-AS-226","Chemistry","Atomic Structure","Electronic configuration","The number of valence electrons in chlorine is:","5","6","7","8","C","Chlorine has ns²np⁵, so it has seven valence electrons."
"CHE-PCH-AS-227","Chemistry","Atomic Structure","Electronic configuration","The number of unpaired electrons in carbon ground state is:","0","1","2","3","C","Carbon has 2p² with two unpaired electrons."
"CHE-PCH-AS-228","Chemistry","Atomic Structure","Electronic configuration","The number of unpaired electrons in neon is:","0","1","2","3","A","Neon has closed shell configuration and all electrons are paired."
"CHE-PCH-AS-229","Chemistry","Atomic Structure","Electronic configuration","Which element has one unpaired electron in 3p subshell?","Aluminium","Silicon","Phosphorus","Sulfur","A","Aluminium has 3p¹, giving one unpaired electron."
"CHE-PCH-AS-230","Chemistry","Atomic Structure","Electronic configuration","Which element has three unpaired electrons in 3p subshell?","Aluminium","Silicon","Phosphorus","Sulfur","C","Phosphorus has 3p³, with three unpaired electrons."
"CHE-PCH-AS-231","Chemistry","Atomic Structure","Electronic configuration","Which configuration represents an excited state of carbon?","1s²2s²2p²","1s²2s¹2p³","1s²2s²2p¹","1s²2s²2p⁶","B","Promotion of one 2s electron to 2p gives excited carbon configuration."
"CHE-PCH-AS-232","Chemistry","Atomic Structure","Electronic configuration","Which configuration violates Aufbau principle?","1s²2s²2p¹","1s²2s¹2p²","1s²2s²","1s²2s²2p⁶","B","2s should be filled before electrons pair or enter higher 2p arrangement in ground state."
"CHE-PCH-AS-233","Chemistry","Atomic Structure","Electronic configuration","Which configuration is impossible due to Pauli exclusion principle?","1s²","1s¹","1s³","2p⁶","C","One orbital can hold maximum two electrons only."
"CHE-PCH-AS-234","Chemistry","Atomic Structure","Electronic configuration","The outer electronic configuration of sulfur is:","3s²3p²","3s²3p³","3s²3p⁴","3s²3p⁵","C","Sulfur has atomic number 16 and valence configuration 3s²3p⁴."
"CHE-PCH-AS-235","Chemistry","Atomic Structure","Electronic configuration","Which element has atomic number 15 and configuration [Ne]3s²3p³?","Silicon","Phosphorus","Sulfur","Chlorine","B","Atomic number 15 corresponds to phosphorus."
"CHE-PCH-AS-236","Chemistry","Atomic Structure","Electronic configuration","Which ion has electronic configuration of neon?","Na","Na⁺","Cl⁻","K⁺","B","Na⁺ has 10 electrons, same as neon."
"CHE-PCH-AS-237","Chemistry","Atomic Structure","Electronic configuration","Which ion has electronic configuration of argon?","Na⁺","Mg²⁺","Cl⁻","F⁻","C","Cl⁻ has 18 electrons, same as argon."
"CHE-PCH-AS-238","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of O²⁻ is same as:","Helium","Neon","Argon","Krypton","B","O²⁻ has 10 electrons, same as neon."
"CHE-PCH-AS-239","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of Ca²⁺ is:","[Ne]","[Ar]","[Ar]4s²","[Ar]3d²","B","Calcium loses two 4s electrons to form Ca²⁺, giving [Ar]."
"CHE-PCH-AS-240","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of Fe²⁺ is:","[Ar]3d⁶","[Ar]3d⁴4s²","[Ar]3d⁵4s¹","[Ar]4s²","A","Transition metal cations lose 4s electrons before 3d electrons."
"CHE-PCH-AS-241","Chemistry","Atomic Structure","Electronic configuration","The electronic configuration of Fe³⁺ is:","[Ar]3d⁵","[Ar]3d⁶","[Ar]3d⁴4s¹","[Ar]4s²3d³","A","Fe³⁺ loses two 4s and one 3d electron, giving stable 3d⁵."
"CHE-PCH-AS-242","Chemistry","Atomic Structure","Electronic configuration","The number of electrons in 3d subshell of Fe²⁺ is:","4","5","6","7","C","Fe²⁺ has configuration [Ar]3d⁶."
"CHE-PCH-AS-243","Chemistry","Atomic Structure","Electronic configuration","Which species is isoelectronic with Ne?","Mg","Mg²⁺","Cl⁻","K⁺","B","Mg²⁺ has 10 electrons, same as neon."
"CHE-PCH-AS-244","Chemistry","Atomic Structure","Electronic configuration","Which species is isoelectronic with Ar?","Na⁺","F⁻","S²⁻","Mg²⁺","C","S²⁻ has 18 electrons, same as argon."
"CHE-PCH-AS-245","Chemistry","Atomic Structure","Electronic configuration","The element with configuration [Ar]3d¹⁰4s²4p⁵ is:","Bromine","Chlorine","Iodine","Krypton","A","[Ar]3d¹⁰4s²4p⁵ corresponds to bromine."
"CHE-PCH-AS-246","Chemistry","Atomic Structure","Electronic configuration","The block of an element is determined by:","First filled orbital","Last electron entering subshell","Number of neutrons","Mass number","B","The subshell receiving the last electron determines the block."
"CHE-PCH-AS-247","Chemistry","Atomic Structure","Electronic configuration","An element with configuration ending in 3p⁴ belongs to:","s-block","p-block","d-block","f-block","B","The last electron enters p-subshell, so it is a p-block element."
"CHE-PCH-AS-248","Chemistry","Atomic Structure","Electronic configuration","An element with configuration ending in 4s² belongs to:","s-block","p-block","d-block","f-block","A","The last electron enters s-subshell, so it is an s-block element."
"CHE-PCH-AS-249","Chemistry","Atomic Structure","Electronic configuration","Which electronic configuration represents a noble gas?","[Ne]3s¹","[Ne]3s²3p⁵","[Ne]3s²3p⁶","[Ar]4s¹","C","[Ne]3s²3p⁶ is argon, a noble gas with complete valence shell."
"CHE-PCH-AS-250","Chemistry","Atomic Structure","Electronic configuration","The total number of electrons in [Ar]3d¹⁰4s²4p⁶ is:","18","28","36","54","C","Argon core has 18 electrons; adding 10 + 2 + 6 gives 36 electrons."
"id","subject","chapter","topic","question","optionA","optionB","optionC","optionD","answer","explanation"
"CHE-RED-RED-001","Chemistry","Redox Reaction","Classical Concept","In classical terms, oxidation is defined as","Addition of hydrogen","Removal of oxygen","Addition of oxygen","Decrease in valency","C","Classically, oxidation means addition of oxygen or removal of hydrogen."
"CHE-RED-RED-002","Chemistry","Redox Reaction","Classical Concept","In classical terms, reduction is defined as","Addition of oxygen","Removal of hydrogen","Addition of hydrogen","Increase in positive charge","C","Reduction classically means addition of hydrogen or removal of oxygen."
"CHE-RED-RED-003","Chemistry","Redox Reaction","Classical Concept","Which process occurs when magnesium burns in oxygen?","Oxidation of magnesium","Reduction of magnesium","Hydrolysis of magnesium","Neutralization of magnesium","A","Magnesium combines with oxygen to form MgO, so it is oxidized."
"CHE-RED-RED-004","Chemistry","Redox Reaction","Classical Concept","In the reaction CuO + H2 → Cu + H2O, CuO is","Oxidized","Reduced","Neutralized","Hydrolyzed","B","CuO loses oxygen to form Cu, so it is reduced."
"CHE-RED-RED-005","Chemistry","Redox Reaction","Classical Concept","In the reaction CuO + H2 → Cu + H2O, H2 acts as","Oxidizing agent","Reducing agent","Catalyst","Acid","B","Hydrogen removes oxygen from CuO, so H2 is the reducing agent."
"CHE-RED-RED-006","Chemistry","Redox Reaction","Classical Concept","Removal of hydrogen from a compound is called","Reduction","Oxidation","Hydration","Substitution","B","Classically, loss of hydrogen is oxidation."
"CHE-RED-RED-007","Chemistry","Redox Reaction","Classical Concept","Addition of hydrogen to a substance is called","Oxidation","Reduction","Combustion","Precipitation","B","Classically, addition of hydrogen is reduction."
"CHE-RED-RED-008","Chemistry","Redox Reaction","Classical Concept","Which of the following is an example of oxidation?","CuO to Cu","Cl2 to Cl^-","H2S to S","Fe3+ to Fe2+","C","H2S loses hydrogen to form sulfur, so it is oxidized."
"CHE-RED-RED-009","Chemistry","Redox Reaction","Classical Concept","Which of the following is an example of reduction?","CO to CO2","Fe to Fe2+","N2 to NH3","H2S to S","C","N2 gains hydrogen to form NH3, so it is reduced."
"CHE-RED-RED-010","Chemistry","Redox Reaction","Classical Concept","A substance that gives oxygen to another substance is called","Reducing agent","Oxidizing agent","Lewis base","Indicator","B","An oxidizing agent supplies oxygen or accepts electrons."
"CHE-RED-RED-011","Chemistry","Redox Reaction","Classical Concept","A substance that removes oxygen from another substance is called","Oxidizing agent","Reducing agent","Acid","Salt","B","A reducing agent removes oxygen from another substance."
"CHE-RED-RED-012","Chemistry","Redox Reaction","Classical Concept","In Fe2O3 + 3CO → 2Fe + 3CO2, Fe2O3 undergoes","Oxidation","Reduction","Dehydration","Ionization","B","Fe2O3 loses oxygen to form Fe, so it is reduced."
"CHE-RED-RED-013","Chemistry","Redox Reaction","Classical Concept","In Fe2O3 + 3CO → 2Fe + 3CO2, CO undergoes","Reduction","Oxidation","Hydration","Polymerization","B","CO gains oxygen to form CO2, so it is oxidized."
"CHE-RED-RED-014","Chemistry","Redox Reaction","Classical Concept","Rusting of iron is mainly a process of","Reduction","Oxidation","Neutralization","Sublimation","B","Iron combines with oxygen and moisture, so it is oxidized."
"CHE-RED-RED-015","Chemistry","Redox Reaction","Classical Concept","Which statement is correct about oxidation and reduction?","They always occur separately","Oxidation occurs without reduction","Reduction occurs without oxidation","They occur simultaneously","D","In redox reactions, oxidation and reduction occur together."
"CHE-RED-RED-016","Chemistry","Redox Reaction","Classical Concept","In ZnO + C → Zn + CO, carbon acts as","Oxidizing agent","Reducing agent","Neutral agent","Precipitating agent","B","Carbon removes oxygen from ZnO and is oxidized to CO."
"CHE-RED-RED-017","Chemistry","Redox Reaction","Classical Concept","Conversion of SO2 to SO3 represents","Reduction","Oxidation","Hydrogenation","Displacement only","B","SO2 gains oxygen to form SO3, so it is oxidation."
"CHE-RED-RED-018","Chemistry","Redox Reaction","Classical Concept","Conversion of CO2 to CO represents","Oxidation","Reduction","Neutralization","Combination","B","CO2 loses oxygen to form CO, so it is reduction."
"CHE-RED-RED-019","Chemistry","Redox Reaction","Classical Concept","Which of the following can act as a classical oxidizing agent?","H2","CO","O2","C","C","Oxygen oxidizes substances by combining with them."
"CHE-RED-RED-020","Chemistry","Redox Reaction","Classical Concept","Which of the following is a classical reducing agent?","O2","Cl2","CO","KMnO4","C","CO removes oxygen from metal oxides and gets oxidized."
"CHE-RED-RED-021","Chemistry","Redox Reaction","Electronic Concept","According to electronic concept, oxidation is","Gain of electrons","Loss of electrons","Gain of protons","Loss of neutrons","B","Oxidation is loss of electrons."
"CHE-RED-RED-022","Chemistry","Redox Reaction","Electronic Concept","According to electronic concept, reduction is","Loss of electrons","Gain of electrons","Loss of oxygen","Gain of neutrons","B","Reduction is gain of electrons."
"CHE-RED-RED-023","Chemistry","Redox Reaction","Electronic Concept","In Na → Na+ + e^-, sodium undergoes","Reduction","Oxidation","Hydration","Neutralization","B","Sodium loses one electron, so it is oxidized."
"CHE-RED-RED-024","Chemistry","Redox Reaction","Electronic Concept","In Cl2 + 2e^- → 2Cl^-, chlorine undergoes","Oxidation","Reduction","Hydrolysis","Decomposition","B","Chlorine gains electrons, so it is reduced."
"CHE-RED-RED-025","Chemistry","Redox Reaction","Electronic Concept","A reducing agent is a substance that","Accepts electrons","Donates electrons","Accepts protons only","Donates oxygen only","B","A reducing agent donates electrons and gets oxidized."
"CHE-RED-RED-026","Chemistry","Redox Reaction","Electronic Concept","An oxidizing agent is a substance that","Donates electrons","Accepts electrons","Donates hydrogen","Accepts neutrons","B","An oxidizing agent accepts electrons and gets reduced."
"CHE-RED-RED-027","Chemistry","Redox Reaction","Electronic Concept","In Zn + Cu2+ → Zn2+ + Cu, zinc is","Oxidized","Reduced","Neutralized","Hydrated","A","Zinc loses electrons to form Zn2+."
"CHE-RED-RED-028","Chemistry","Redox Reaction","Electronic Concept","In Zn + Cu2+ → Zn2+ + Cu, Cu2+ is","Oxidized","Reduced","Neither oxidized nor reduced","Decomposed","B","Cu2+ gains electrons to form Cu."
"CHE-RED-RED-029","Chemistry","Redox Reaction","Electronic Concept","In a redox reaction, the number of electrons lost is","Less than electrons gained","Greater than electrons gained","Equal to electrons gained","Always zero","C","Electron loss and gain must be equal in a balanced redox reaction."
"CHE-RED-RED-030","Chemistry","Redox Reaction","Electronic Concept","Which species is oxidized in Fe2+ → Fe3+ + e^-?","Fe2+","Fe3+","Electron","Both Fe2+ and Fe3+","A","Fe2+ loses an electron to form Fe3+."
"CHE-RED-RED-031","Chemistry","Redox Reaction","Electronic Concept","Which species is reduced in Ag+ + e^- → Ag?","Ag+","Ag","Electron","Both Ag+ and Ag","A","Ag+ gains an electron to form Ag."
"CHE-RED-RED-032","Chemistry","Redox Reaction","Electronic Concept","Oxidation is associated with","Increase in electron density","Decrease in oxidation number","Loss of electrons","Gain of electrons","C","Oxidation means loss of electrons."
"CHE-RED-RED-033","Chemistry","Redox Reaction","Electronic Concept","Reduction is associated with","Increase in oxidation number","Decrease in oxidation number","Loss of electrons","Loss of hydrogen always","B","Reduction usually decreases oxidation number."
"CHE-RED-RED-034","Chemistry","Redox Reaction","Electronic Concept","The phrase OIL RIG means","Oxidation is loss, reduction is gain","Oxidation is low, reduction is great","Oxygen is lost, reduction is gained","Oxidation involves lithium, reduction involves gold","A","OIL RIG is a mnemonic for electron transfer."
"CHE-RED-RED-035","Chemistry","Redox Reaction","Electronic Concept","In Mg + Cl2 → MgCl2, magnesium acts as","Oxidizing agent","Reducing agent","Both oxidizing and reducing agent","Neither agent","B","Magnesium donates electrons to chlorine and gets oxidized."
"CHE-RED-RED-036","Chemistry","Redox Reaction","Electronic Concept","In Mg + Cl2 → MgCl2, chlorine acts as","Reducing agent","Oxidizing agent","Catalyst","Base","B","Chlorine accepts electrons and is reduced."
"CHE-RED-RED-037","Chemistry","Redox Reaction","Electronic Concept","Which half-reaction represents oxidation?","Cu2+ + 2e^- → Cu","Fe3+ + e^- → Fe2+","2Cl^- → Cl2 + 2e^-","Ag+ + e^- → Ag","C","Oxidation involves loss of electrons."
"CHE-RED-RED-038","Chemistry","Redox Reaction","Electronic Concept","Which half-reaction represents reduction?","Zn → Zn2+ + 2e^-","2Br^- → Br2 + 2e^-","Fe3+ + e^- → Fe2+","Na → Na+ + e^-","C","Fe3+ gains an electron to form Fe2+."
"CHE-RED-RED-039","Chemistry","Redox Reaction","Electronic Concept","A species that loses electrons becomes","More negative","Oxidized","Reduced","Unchanged in charge always","B","Loss of electrons is oxidation."
"CHE-RED-RED-040","Chemistry","Redox Reaction","Electronic Concept","A species that gains electrons becomes","Oxidized","Reduced","Always neutral","Always gaseous","B","Gain of electrons is reduction."
"CHE-RED-RED-041","Chemistry","Redox Reaction","Oxidation Number","The oxidation number of an element in its free state is","-1","+1","0","+2","C","Free elements have oxidation number zero."
"CHE-RED-RED-042","Chemistry","Redox Reaction","Oxidation Number","The oxidation number of oxygen in most compounds is","-2","-1","+1","+2","A","Oxygen usually has oxidation number -2."
